Manmino,Old Word,Type,Hanji Spelling,Definition
dadwan,daduan,,大緞,(adj) great
dahak,dahakhaw,,大學,"(n) university; college; post-secondary education institution, incl.  etc.; the Great Learning - one of the Four Books;"
daheng,daheng,,多幸,(adv) luckly; lucky
dajang,dajiang,,大丈,(v) strong (used for persons)
dajangbu,dajiangbiu,,大丈夫,(n) strong man
dajeng,dajieng,,多情,(adj) friendly
dajep,dajip,,大捷,(n) great victory
daga,daka,,大家,(n) Great House; or the master of said great house/ institution
dagakheng,dakakheng,,多角形,(n) polygon
dalyang,daliang,,大量,"(adj-na,n,adj-no) large quantity;"
dalik,dalik,,大力,"(n,adj-no) immense physical strength"
dalisek,dalisiek,,大理石,(n) marble
todiun,dam,,土地 ,(n) earth; ground; soil
todo,damdow,,土豆,(n) potato;
dogang,damkang,,渡江,"(n,v) river crossing; to cross a river"
toseng,damseng,,土星,(n) Saturn (planet)
dosi,damsi,,都市,town; city
damswi,damsuy,,淡水,(n) fresh water;
toyawnit,damyonit,,土燿日,(n) saturday
dan,dan,,,"(prn) however, simply, merely; though; although; just"
danggammi,dangkammuy,,唐甘味,(adj) sweet
danggwa,dangkua,,唐果,(n) candy
dangnyawbeng,dangnewbieng,,唐尿病,(n) diabetes mellitus; sugar diabetes
danin,danin,,大人,(n) adult
danseng,dansieng,,誕生,(v) to be born
dansengnit,dansiengnit,,誕生日,(n) birthday
dasit,dasit,,,(n) five
dasak,dasiu,,多數,(adj) many
tatseng,datsieng,,達成,(v) to achieve; to acquire
dawang,dawang,,大王,(n) great king
dawbi,dawbi,,逃避,"(v, n) to run away; to escape; evade; flee; elude; avoid"
dawdaw,dawdaw,,,soon; not long
dawhwa,dawhua,,道化,(v) to Daoify
tyawjo,dawjow,,咷走,"(v) to flee, run away"
dawgem,dawkiam,,刀劍,(n) sword;
day,day,,,(prn) against
dayang,dayang,,多樣,(adj) diverse; varied; diversified; various
daybo,daybam,,逮捕,(v) to arrest; apprehend
daek,dayek,,多益,(adj) more
daim,dayim,,大音,(adj) loud
dayjep,dayjip,,待接,"(v) to host someone, to give someone proper treatment, to receive someone"
denggagyawhwan,daykakawhuan,,等價交換,(n) equivalant exchange
daygi,dayki,,待機,"(v) to wait, hesitate"
dagyo,dakio,,大舉,(n) big event
dek,dek,,的,(p) adjective case
dek,dek,,,(p) changes the word function from noun to adjective
jeking,dekying,,適應,"(v) to adapt, adjust, to be used to, accustomed"
demsen,demsien,,點線,(n) dotted line
jen,jen,,前,(prn) in front
dengcajang,dengciajiang,,停車場,(n) stop (bus); bus stop
dengji,dengji,,停止,"(v, n) to end, stop, to pause, to stay in a location, stop moving, cease; interrupt"
dagek,dengkek,,打擊,"(v) to hit, punch"
denglyok,dengliok,,登錄,(v) to register
dengpan,dengpan,,登攀,(v) to climb
daji,dengsi,,打字,(v) to type
dengsibang,dengsibang,,停屍房,(n) mortuary
denhwa,denhuay,,電話,(n) telephone; phone
denji,denji,,電子,"(n, adj) electron; electronic"
jinlyaw,denlew,,填料,"(n) stuffing, loading material (for making paper); filler"
densiyuakki,densiyuakki,,電視遊樂器,(n) video game console
dyaw,dew,,鳥,(n) bird;
dyawjet,dewjat,,調節,(v) to add (material)
dyawjet,dewjat,,調節,"(v) to adjust, to moderate"
tyawjen,dewjien,,挑戰,(n) a challenge
dyawyak,dewyak,,跳躍,(v) to jump; to leap
dey,dey,,弟,(n) younger brother
deydo,deydow,,低頭,(v) to bow
deyim,deyyim,,低音,(n) low tone; bass; low voice;
dibangbeng,dibangbieng,,地方病,(n) endemic
gigwanca,didongcia,,機關車,(n) locomotive
digyu,digiu,,地球,(n) earth (planet);
diha,diha,,地下,"(n,adj-no,pref,col) basement; cellar; underground place; underground; below ground; undercover; underground (railway); subway; metro;"
dihaswi,dihasuy,,地下水,(n) underground water
dihatet,dihatet,,地下鐵,(n) underground rails; subway
dimen,dimien,,地面,(n) floor; ground
disu; dys,disu; dys,,,(n) video 
diyok,diyok,,地獄,(n) hell
dokbek,dokbek,,獨白,(v) to monologue
dokcaw,dokcaw,,毒草,(n) poisonous plant
dokidoki,dokidoki,,,thump thump
dokji,dokji,,獨自,(adj) alone; solitary; lonely
dokjem,dokjim,,獨占,(v) to hold a monopoly
dokmut,dokmut,,毒物,(n) poison
doksyo,doksio,,讀書,(v) to read a book
dongengsyang,dongangsiang,,動映像,(n) video
dongbangyu,dongbuangiu,,東半球,(n) eastern hemisphere
dongdeng,dongday,,同等,(v) to be similar/to be like; equal
donghak,donghak,,同學,(n) the same school; classmate
donghawhway,donghawhuay,,同好會,(n) club
donghwa,donghok,,動畫,(n) animated image
donghwagek,donghokgiek,,動畫劇,(n) movie
donggwi,dongkuy,,冬季,(n) winter
dongmut,dongmut,,動物,(n) animals
dongmutsimlim,dongmutsimlim,,動物森林,(n) animal crossing
dongnen,dongnen,,同年,"(n-adv,n-t) that year; same year; same age"
dongnin,dongnin,,同人,(n) people who have similar interests;
dongsi,dongsi,,動詞,(n) verbs
dongsengay,dongsiengay,,同性愛,(n) homosexuality
dongyang,dongyang,,東洋,"(n) Asia; the places where in which Eastern civlizations exist, mainly east of India"
do,dow,,頭,(n) head;mind; brain;
do,dow,,頭,"measure word, animals"
dojek,dowjiek,,投擲,"(v) to throw, toss"
dojen,dowjien,,投錢,"(v, n) to challenge (to a battle)"
Doycu,doycu,,,(n) Germany
dwan,duan,,斷,(v) to cut
dwanga,duanka,,短歌,(n) short poem
dwangem,duankiam,,短劍,(n) dagger; knife
dwansigan,duansikan,,短時間,(n) short time; short moment of time
dwatcwi,duatcut,,脫出,(v) to escape a location
dwatjak,duatjiak,,脫著,(v) to attatch and detatch; to detatch
dwatjo,duatjow,,脫走,(v) to escape and runaway
dwati,duatyi,,脫衣,(v) to undress
dwatyok,duatyok,,脫獄,(v) to escape from prison
dwayhwa,duayhuay,,對話,(n) conversation
dwaymen,duaymien,,對面,(v) to face
dwaying,duayying,,對應,"(n, v) correspondence; corresponding; matching; to respond (nonverbal)"
jung,jiong,,中,"(p) present tense ""-ing"""
dwonbo,duonbam,,臀部,(n) buttox; arse
dwonji,duonji,,飩子,(n) potstickers
dwongap,duonkap,,遁甲,(v) to disguise
dwonnyuk,duonniok,,豚肉,(n) pork
dwotnyen,duotnien,,突然,(adj) sudden
dwotnyenbeni,duotnienbienyi,,突然變異,(n) mutant; sudden mutation
elinika,elinika,,,"(n) greece, the ancient civilization of ;  Greece, the modern nation of"
encaw,encaw,,烟草,"(n,uk) tobacco; cigarettes;"
enja,enjia,,言者,(n) speakers of a language
engyu,enkiu,,硏究,(n) research
engyuja,enkiujia,,硏究者,(n) Researcher
engyuseng,enkiusieng,,硏究生,(n) Junior Researcher; Masters Degree Holder from China
eno,eno,,言語,(n) language
enohak,enohak,,言語學,(n) linguistics
ensi,ensi,,言詞,(n) words
nidongminhwa,eydongminhuay,,兒童民話,(n) Folk stories for Children
gwang,gang,,狂---,"(n) fan (stalker, obsessive to a new level)"
gwangay,gangay,,狂愛,(v) to fangirl
gwangdek,gangdek,,狂的,(adj) crazy
gwensyu,gensiu,,捲袖,(v) to roll up ones sleeve
gyanghwa,gianghua,,强化,(v) to strengthen
gyanggan,giangkan,,强姦,(v) to rape
gyangmay,giangmay,,强賣,(v) to forcibly sell
gyangyaw,giangyo,,强要,"(v) to force upon, to insist"
gidaw,gidaw,,祈禱,(v) to pray
