Manmino,Old Word,Type,Hanji Spelling,Definition
si,si,,死,"(n,n-suf,arch) death; decease; death penalty (by strangulation or decapitation)"
si,si,,視,"(v) to look, see, view accidentally"
sya,sia,,謝,(v) to thank
syabon,siabuon,,寫本,(n) a copy
syahway,siahuay,,社會,(n) society
syahwayhak,siahuayhak,,社會學,(n) sociology
syajin,siajin,,寫真,(n) photo; pictures
syakjo,siakdey,,削除,(v) to delete; remove; eliminate; erasure; erasion
sekgek,siakek,,射擊,"(v) to shoot, fire (gun)"
syagwa,siakua,,謝過,(v) to apologize
syang,siang,,上,"up, on"
syangpan,siangban,,相反,(adj) contrary to each other
syangban,siangbuan,,上半,(n) first half; upper half
syangdey,siangdey,,上帝,"(n) God (non-denominational sense), heavenly emperor (supreme deity, Sinospheric mythology)"
syangha,siangha,,上下,(n) high and low; up and down; unloading and loading; praising and blaming;
syangho,siangham,,相互,"(n, adj) each other; mutual"
syangki,siangki,,想起,(v) to remind
syanggip,siangkip,,上級,(n) high tier
syangsing,siangsing,,上乘,(v) to rise
setji,siatji,,設置,(v) to install
sibi,sibuy,,是非,(n) that which is right or wrong
sicat,sicat,,寺刹,(n) temple (Buddhist)
sido,sidam,,試圖,"(v) to try, attempt"
sidek,sidek,,是的,yes
siden,siden,,辭典,(n) dictionary
sekbang,siekbang,,釋放,(v) to release from prison
sekhway,siekhuay,,石灰,"(n,adj-no) lime; quicklime; caustic lime"
sekgaw,siekkaw,,石膏,"(n,adj-no) plaster; gypsum; calcium sulphate (sulfate)"
sekmek,siekmek,,石墨,(n) graphite; black lead;
sekeng,siekyeng,,石英,(n) quartz
sekyu,siekyu,,石油,(n) oil; petroleum; kerosene;
sen,sien,,善,(n) good (opposite of evil)
senpunggi,sienbiongki,,扇風機,(n) fan (machine that generates wind)
benseng,sieng,,變成,(v) to become 
sengay,liangsiengay,,兩性愛,(n) bisexuality
sengbay,siengbay,,成敗,(n) success and defeat
sengdekdengjaysenghwonlwan,siengdekdengjeysienghuonluan,,姓的停滯性混亂,(n) gender dysphoria
sengdi,siengdi,,生地,"(n) fresh, new or well-rested land; land of life"
senghwat,sienghuat,,生活,"(n,vs) living; life (one's daily existence); livelihood;"
sengjwon,siengjuon,,生存,(v) survive
senggyaw,siengkaw,,性交,(v) to fornicate
senggyaw,siengkaw,,性敎,(v) to have sex
lihak,sienglihak,,理學,(n) neo-confucianism; Confucian Naturalism
sengmeng,siengmieng,,生命,(n) life
sengmenglik,siengmienglik,,生命力,(n) vitality; (one's) life force
sengmuthak,siengmuthak,,生物學,(n) biology
sengsyawsakja,siengsiosiujia,,性少數者,(n) person of the sexual minority community
sengyen,siengwen,,生員,(n) one who passed a regional (Chinese) or national (Korean) civil service exam prior to the modern era.
sengim,siengyim,,聲音,"(n,adj-no) vocal sound; tone of voice"
sengim,siengyim,,聲音,(n) noise
cwiseng,siengyo,,出生,"(v,n) to give birth, birth"
senmut,sienmut,,膳物,(n) meal
senmi,sienmuy,,鮮味,(adj) unami; the deep fish taste
sija,sija,,,(n) lion
benji,siji,,便紙,(n) toilet paper
siji,siji,,獅子,(n) lion
sijang,sijiang,,市場,(n) market
sik,sik,,食,(v) to eat;
syojisi,sika,,叙事詩,(n) epic poem
sigak,sikak,,視覺,"(n) sight, the sense of"
sikansa,sikansa,,,(n) fish
sikben,sikban,,食番,(n) mukbang; eating broadcast
siklyang,sikliang,,食糧,(n) provisions
sikninjok,sikninjok,,食人族,(n) tribe of cannibalistic humans
sikonggan,sikongkan,,時空間,"(n) space time, the continuum of"
sikpim,sikpim,,食品,(n) food
silaya,silaya,,,(n) wing
silen,silen,,試練,(n) hardship; trial
simang,simang,,死亡,"(n,vs,adj-no) death; mortality; (P)"
simgyu,simgiu,,尋求,(v) to search (philosophical)
simin,simin,,市民,(n) resident of a city
simingwen,simingen,,市民權,(n) citizenship
simjang,simjang,,心贓,(n) heart (organ)
simjangbakdong,simjangbakdong,,心贓搏動,(n) heartbeat; pulse
simjung,simjiong,,心中,(n) within the heart
simli,simli,,心理,(n) mentality;
simlihak,simlihak,,心理學,(n) psychology
simlim,simlim,,森林,(n) forest
simji,simlio,,心事,(v) to be concearned; to worry
simlwan,simluan,,心亂,(v) to be troubled at heart
simmi,simmi,,審美,(n) aesthetics
simmiim,simmiyim,,審美音,(n) aesthetically pleasing sound; satisfying
simya,simya,,深夜,"(n-adv,n-t) late at night"
sin,sin,,神,(n) god; spirit
sinjong,sinciong,,信從,(v) to follow a will
sindaw,sindaw,,神道,(n) divine path; the Japanese traditional religion of Shintoism
sinem,sinem,,思念,(n) thought; memory 
singbay,singbay,,勝敗,(n) victory and defeat
singli,singli,,勝利,"(v) to win, victor"
jepsyu,singyin,,接受,"(v) to accept, approve"
sinhwa,sinhuay,,神話,"(n) legend, mythology"
singaw,sinkaw,,申告,(v) to report to authorities
sinlatmi,sinlatmuy,,辛辣味,(adj) spicy
sinlay,sinlay,,信賴,(v) to trust
sinleng,sinleng,,神靈,(n) divine spirit
sinmun,sinmun,,新聞,(n) news
sinnem,sinnem,,信念,(n) faith
sinnim,sinnim,,信任,(v) to believe
sinsen,sinsien,,新鮮,"(adj) fresh (experience, food etc); freshness; novel; uncommon"
sinseng,sinsieng,,神聖,(adj) holy
sinsok,sinsok,,迅速,(adj) fast
syaw,sio,,笑,(v) to laugh
syobang,siobang,,書房,(n) study (room)
syawbang,siobang,,消防,(v) to fight fires
syojek,siocek,,書籍,(n) book
syocwi,siocut,,所出,(n) to exit a place
syawdok,siodok,,消毒,"(n,vs) disinfection; sterilization; sterilisation;"
syawnisengay,sioeysiengay,,小兒性愛,(n) pedophilia
syojo,siojow,,徐走,(v) to run slowly; to jog
syawgay,siokay,,紹介,"(n,vs,adj-no) introduction; referral;"
sukbu,siokbiu,,叔父,(n) uncle;
tomeng,siokmieng,,透明,(adj) clear (physical); invisible
sukmo,siokmow,,叔母,(n) aunt;
syolop,syolop,,,"(n, v) drink, beverage "
syoluy,syoluy,,,(n) bird;
syompolu,syompolu,,,(n) back (anatomy)
syawnen,sionen,,少年,(n) boy
yawgyu,sionglim,,要求,"(v, n) to demand, claim, request"
syawnin,sionin,,小人,(n) children; unnoble people (Confucian)
syawnyo,sionio,,少女,(n) girl
syawsim,siosim,,小心,(adj) shy
syawsyaw,siosio,,小小,(adj) small; little
syoyeng,sioyeng,,野營,(v) to camp
syawim,sioyim,,小音,(adj) quiet
sip,sip,,十,(n) ten
ep,sip,,葉,(n) leaf
sipdek,sipdek,,習得,(v) to learn (a skill)
sipgwan,sipkuan,,習慣,(n) habit
sitaw,sitaw,,,(v) to know; to realize
sitbay,sitbay,,失敗,(v) to fail
sitnway,sitnuay,,室内,"(adj,n) indoor, inside"
sitnwayjimut,sitnuayjimut,,室内植物,(n) houseplant
syu,siu,,手,(n) hand
syuak,siuak,,手幄,(v) to grab a hand; to grab with a hand; to shake hands
syuco,siudek,,受取,(v) to receive; to get
sakhak,siuhak,,數學,(n) mathmatics
syuhwak,siuhuak,,收穫,"(v) gather, pick, or harvest agricultural produce"
syujyaw,siujaw,,手爪,(n) fingernails
syujeydonghwa,siujeydonghok,,手製動畫,(n) hand-produced animation
syuji,siuji,,手指,(n) fingers
syuji,siuji,,手紙,(n) napkin
saklet,siujiu,,數列,(v) to count; to list numbers
swigwa,siukua,,睡過,(v) to oversleep; sleep in
syuli,siuli,,修理,"(v, n,vs,v,adj-no) to repair; heal; mend; servicing; fix,"
syulep,siulip,,狩獵,(v) to hunt and gather
syuluce,syuluce,,,(adj) sad
swimen,siumen,,睡眠,"(n, vs) sleep"
saksi,siusi,,數詞,(n) numbers
siem,siyim,,試驗,(v) to test
siyong,siyong,,使用,"(n,vs) to use; application; employment; utilization; utilisation;"
sok,sok,,速,(adv) swiftly
sokbo,sokbam,,速步,(v) to walk fast
sokjo,sokjow,,速走,(v) to run; to run fast
sokosoko,sokosoko,,,(v) to whisper; mumur
soking,sokying,,速應,(adj) responsive
soyong,soyong,,,(v) to twist; whirl; shake 
swansinmi,suansinmuy,,酸辛味,(adj) sour
swansak,suansiu,,算數,(n) arithmatic
sudem,sudem,,,(v) to pat 
syungan,sunkan,,瞬間,(n) moment
swonsit,suonsit,,損失,(v) to lose something
susuk,susuk,,,(v) to brush; polish; scrub
swi,suy,,水,(n) water
swibunbocung,suybunbamciong,,水分補充,(n) hydration
swijeng,suyjieng,,水晶,(n) crystal
swilik,suylik,,水力,"(n,adj-no) hydraulic power; water power;"
swiseng,suyseng,,水星,"(n,adj-no) Mercury (planet)"
swiyeng,suyweng,,水泳,(v) to swim
swiyawnit,suyyonit,,水曜日,(n) wednesday
tadi,tadi,,他地,(n) elsewhere; there
tak,tak,,,(v) to take photo
tamhem,tamhim,,探險,(v) to explore (places)
tamsak,tamsak,,探索,"(v) to search for an object, to explore"
sengnit,sengnit,,,(n) birthday
tapsing,tapsing,,搭乘,"(v) to get onto, on top of, to mount, to get on a vehicle"
sa,tat,,们/些,(p) plurality marker
tat,tat,,,(p) plurality (generally for Chinese words)
daw,daw,,,(prn) until
tawlwon,tawlun,,討論,(n) debate; discussion
tay'o,tay'o,,,(n) Thai Language
taygim,taykim,,貸金,(v) to lend money
tayyang,tayyang,,太昜,(n) sun; solar; 
tayyo,tayyo,,貸與,"(v) to lend, borrow"
tenban,tenban,,天板,(n) ceiling
tendi,tendi,,天地,(n) heavens and earth;
teng,teng,,聽,"(v) to listen, hear"
tenggak,tengkak,,聽覺,"(n) hearing, the sense of"
teng'olu,teng'olu,,,(n) hand
tenju,tenjiu,,天主,(n) God (Christian)
tengwok,tenkok,,天國,(n) heavenly kingdom; heaven
tenkong,tenkong,,天空,(n) sky
tenmunhak,tenmunhak,,天文學,(n) astronomy
tensi,tensi,,天使,(n) angels; agents of heaven
tenwangseng,tenwangseng,,天王星,(n) Uranus (planet)
tong,tong,,通,thorugh (physical and abstact)
tong,tong,,,(p) “through (noun)”
tong,tong,,,"(p) instrumental case, Passive"
tonggak,tongkak,,痛覺,"(v) to feel pain, hurt"
tonglat,tonglat,,,(n) sky;
todaw,towdaw,,偷盜,(v) to steal
twaycwi,tuaycut,,退出,(v) to kick out
twayyek,tuayyek,,退役,(v) to decommission
tubut,tubut,,,(n) two
tundapay ,tundapay ,,,(v) to bow
yubi,ubi,,牛皮,"(n) cowhide; oxhide, cow skin"
yunay,unay,,牛嬭,(n) cow milk;
yunyuk,uniok,,牛肉,(n) beef
yusya,usia,,牛舍,(n) cow house;
usyu,usyu,,,(v) to splash
uwu,uwu,,,(n) the sense of overwhelming kawaii
yuyu,uyu,,牛油,(n) butter; cow oil
wa,wa,,,(exclamative) ah
wagali,wagali,,,"(v) to spin, to roll"
wagali,wagali,,,"(v) to spin, to roll"
wamu,wamu,,,(v) to yawn
wangdaw,wangdaw,,王道,(n) principles of royalty; rule of right; royal road (i.e. easy method); short-cut
wangho,wanghow,,王侯,(n) king and princes; noble rank
wangho,wanghow,,王后,(n) queen; monarch; ruler
wangyu,wangiu,,玩具,(n) toy; plaything
wangji,wangji,,王子,(n) prince
wangjaw,wangjio,,王朝,(n) dynasty
wanggwok,wangkok,,王國,(n) kingdom
wangnyo,wangnio,,王女,(n) princess
wangsit,wangsit,,王室,(n) royal family; royal houshold
wangwi,wangwuy,,王位,(n) the throne; the crown
wankyo,wankio,,遠去,(v) to leave
wano,wanow,,玩偶,(n) doll
wanwan,wanwan,,遠遠,"(adj) far, distant"
en,waten,,言,(v) to say
lwonway,lunway,,論外,(n) out of discussion
ujunin,waybangnin,,宇宙人,(n) alien (terrestrial)
waydaw,waydaw,,外道,(n) outside of the path to human decency
waydinin,waydinin,,外地人,(n) outsider
waygaynin,waykaynin,,外界人,(n) space alien
waytaw,waytaw,,外套,(n) coat; jacket
yengget,wengkat,,永結,(v) to freeze (tempature)
yengwan,wengwan,,永遠,(n) forever; eternal
wi,wi,,爲,for the sake of
wi,wi,,,(p) purpose (for)
yu,wiu,,右,right
udek,wiudek,,雨滴,(n) raindrop
uju,wiujiu,,宇宙,(n) space
ujubihangji,wiujiubuyhangji,,宇宙飛行士,(n) astronaut
usan,wiusan,,雨傘,(n) umbrella
uten,wiuten,,雨天,(n) rain; rainy skies
yuyu,wiuwiu,,友友,(n) close friend
wiwike,wiwike,,,(v) to ring
yung,wong,,熊,(n) bear (animal);
yungben,wongbien,,雄辯,(n) rhetoric
wonki,wonhi,,温氣,(n) warmth
wonca,wonja,,温茶,(n) warm tea
yulik,wulik,,有力,"(adj-na,n) influential; prominent; strong; likely; plausible; potent;"
unban,wunbuan,,運搬,"(v) to carry, to transport"
undonglik,wundonglik,,運動力,"(n) force, physical ; kinetic energy"
unha,wunha,,運河,(n) canal
unji,wunji,,雲子,(n) cloud
unget,wunkat,,運結,(v) to connect
lensyok,wunwun,,連續,(adv) continuous
,,,,
wibeng,wuybieng,,胃病,"(n,adj-no) stomach trouble"
wiji,wuyji,,位置,(n) place; location; spot
wiji,wuyji,,胃子,(n) stomach; tummy
ya,ya,,夜,(n) night
yaban,yabuan,,夜半,(n) in the middle of the night; dead of night
yagin,yagin,,夜勤,(n) nighttime work
yawsyok,yaksiok,,約束,(v) to promise
wan,yan,,願,(v) to want
yangbay,yangbay,,仰拜,(v) to look up to (worship)
yangmat,yangmat,,洋襪,(n) socks
yangnay,yangnay,,羊嬭,(n) goat milk;
yangnyuk,yangniok,,羊肉,(n) mutton
yangyuk,yangyok,,養育,"(v) to nourish, nurture, bring up, breed, raise"
wanki,yanhi,,元氣,(n) strength; vigor; vitality; full of spirit; primal energy
nitya,yanitya,,日夜,(adv) now; at present; at the moment; modern; current; currently; nowadays
wanji,yanji,,原子,(n) atom
wanlyaw,yanlew,,原料,(n) raw materials
wanli,yanli,,原理,(n) principle; theory; fundamental truth;
wansi,yansi,,原始,(n) primal
epmu,yapmiu,,業務,(n) work (a regular task that is currently being performed)
wat,yat,,月,(n) moon; month
watyawnit,yatyonit,,月曜日,(n) monday
ye,ye,,,(prn) ergo
ye,ye,,,"(p) mandate particle (informal) ""should"""
ek,yek,,驛,(n) station (public transportation)
yongga,yekhay,,溶解,(v) to dissolve
yenbit,yenbit,,鉛筆,(n) pencil;
enghyang,yenghiang,,影響,(v) to effect
enggwok,yengkok,,英國,(n) england / britain
enjo,yenjow,,演奏,(v) to play an instrument
eysyut,yeysut,,藝術,(n) art
ibuk,yibiok,,衣服,(n) clothing
idong,yidong,,移動,"(n, vs) move; move (to/in somwhere)"
ihak,yihak,,醫學,(n) medical science; medicine;
iho,yihow,,以後,(n) after (time)
ijen,yijen,,以前,(n) before (time)
iji,yiji,,意志,(n) will; willpower
iji,yijua,,椅子,(n) chair;
ik,yik,,億,(n) ten million
ikbeng,yikbieng,,臆病,(adj) sulky; scared
igen,yiken,,意見,(n) opinion
,,,,
mengnit,yiknit,,明日,(n) tomorrow (the day following today)
iksen,yiksien,,翼扇,(n) fan (hand held)
ilwon,yilun,,議論,"(n) theory, hypothetical"
ilwon,yilun,,議論,(v) to discuss
imlak,yimak,,音樂,(n) music
imbu,yimbiu,,音符,(n) musical note
imci,yimci,,音癡,(adj) tonedeaf
imjit,yimhaw,,音質,(n) sound quality
imju,yimjiu,,飲酒,(v) to drink alcohol
imlyaw,yimlew,,飲料,"(n, v) drink, beverage"
emmi,yimmuy,,鹽味,(adj) salty
imseng,yimsieng,,音聲,(n) voice
imun,yimun,,疑問,(v) to ask; to question (abstract answer)
imi,yimuy,,意味,(n) meaning; significance;
in,yin,,引,(v) to pull
indaw,yindaw,,引導,(v) to guide
ingdap,yingdap,,應答,"(v) to reply, to answer"
ingyen,yingwan,,應援,(v) to cheer
insin,yinsin,,隱身,(v) to hide one's body
intway,yintuay,,隱退,(v) to retire from a job from age
isi,yisi,,意思,(n) intention; purpose
hwayi,yisim,,懷疑,(v) to doubt
itdem,yit,,一点,(n) an iota; a single point
itban,yitbuan,,一半,(n) half; part
itdeng,yitdeng,,一定,(n) regular (temporal)
itnenban,yitnenbuan,,一年半,(n) one year and a half
itya,yitya,,一夜,"(n-adv,n-t) one night; all night; overnight; one evening"
udek,yiudek,,愚的,(adj) stupid; dumb
yo,yo,,與,(v) to give
yo,yo,,,(prn) that far away
yo,yo,,,"(prn) too; as well, also"
yawjeng,yocieng,,要請,"(v, n) to request; claim; appeal"
yocik,yocik,,豫測,(v) to estimate; to predict
gyohang,kiohang,,舉行,"(v) to celebrate, to hold a celebration"
yawjeng,yojieng,,妖精,"(n) fantastic beasts, not evil, generally chaotic"
gyanggyu,yokow,,強求,(v) to demand
yawgway,yokuay,,妖怪,"(n) fantastic beasts, general"
yolot,yolot,,,(n) eight
yomit,yomit,,,(n) six 
yong,yong,,,(p) “using (noun)”
yong,yong,,,"(p) instrumental case, active"
yongen,yongan,,用言,(n) phrase; expression
yongga,yonghay,,鎔解,(v) to melt
yongki,yonghi,,勇氣,(n) bravery
yongmeng,yongmeng,,勇猛,(adj) brave
yongsyo,yongsio,,容恕,(v) to forgive
yawnit,yonit,,曜日,(n) day of the week
yosyomi,yosyomi,,,(n) nine
yu,yu,,,(prn) because of
yulak,yuak,,遊樂,"(n, v) game, to play, mess around"
ywakwak,ywakwak,,,(v) to fuck (slang)
yuin,yuyin,,誘引,(v) to bait; to attract
wiji,yuyji,,維持,(v) to maintain
wiit,yuyyit,,唯一,(adj) one and only; unique
boyuk,,,培育,(v) to make (of); to cultivate; to train; breed
cey,cey,,,(v) to be
ciu,ciu,,,(v) to be (archaic)
jawsip,jiosip,,潮濕,(adj) damp; wet; moist
jawlyu,jioliu,,潮流,(n) tide; current
bi,bi,,,"(p) negation particle ""no, not"""
lengdek,lengdek,,冷的,(adj) cold
uhuy,,,,(n) cow
halimaw,,,,(n) cow
uhasi,,,,(n) cow
long,,,龍,(n) cow
naga,,,,(n) cow
tulay,,,,(n) cow
usahing,,,,(n) cow
moli,,,,(n) cow
honi,,,,(n) cow
konki,,,,(n) cow
ayam,,,,(n) cow
nohoy,,,,(n) cow
baboy,,,,(n) cow
kucing,,,,(n) cow
cono,,,,(n) cow
temtem,,,舔舔,(v) to lick (slang) 
gita,,,其他,(adj) other
yamay,,,,(n) goat
yitik,,,,(n) duck
nitnit,,,日日,(n) days
simdek,,,深的,(adj) deep; dark
paneng,,,反映,(v) to reflect; mirror
lyuswi,,,溜水,(n) puddle
,,,,
byawday,,,包袋,(n) bag
kwa,,,,(exclamative) oops; crap
ko yin huayen,,,,now that you mention it
damhwa,,,談話,(v) to converse; chat
bendek,,,煩的,(adj) troublesome; bothersome
hwonjak,,,渾濁,(adj) muddy; mirky; unclear
pyawlyang,,,漂亮,(adj) pretty
kiley,,,綺麗,(adj) enchanting; beautiful
sigan,,,時間,(n) time; moment; during; while
galugi,,,,(n) goose (tamed or wild)
yak,,,,(n) yak
buyo,,,鮒魚,(n) carp
gimbuyo,,,金鮒魚,(n) goldfish
koybiuyo,,,鮒魚,(n) koi fish
gajang,,,,(n) elephant
syunlok,,,馴鹿,(n) reindeer
tonakay,,,,(n) reindeer
syobong,,,野蜂,(n) wild bee
mitbong,,,蜜蜂,(n) honey bee
lebat,,,,(n) bee; honeybee
syongkol,,,,(n) falcon
ingdyaw,,,鷹鳥,(n) bird-of-prey
tyangki,,,,(n) pheasant
mundey,,,"問題",(n) problem; issue
bangput,,,彷彿,(v) to seem; appear; resemble
,,,,
,,,,
jibang,,,置放,(v) to put; place
byujey,,,複製,"(v, n) to duplicate, make a copy of; copy"
dongi,,,同意,(v) to consent
ninki,,,人氣,(n) popularity' personality
waygwoknin,,,外國人,(n) foreigner
hwonsin,,,婚姻,(n) marriage
iknit,,,翌日,next day
gwan,,,關,about; regarding
itdong,,,一同,along; together; all
itni,,,一二,a couple; a few; one or two
hwangdong,,,黃銅,brass
genmut,,,建物,building; structure
genjuk,,,建築,construction; to construct (a building)
syangep,,,商業,(n) commerse; trade; business
hwaysya,,,會社,"(n) japanese or korean company, corporation; workplace"
henjay,,,現在,(adv) now; at present; at the moment; modern; current; currently; nowadays
lyudong,,,流動,(v) to flow; to circulate; to go from place to place; 
gyawhwan,,,叫喚,(v) to cry out; scream
apja,,,壓搾,"(v,n) to press; squeeze; crush"
pokmet,,,撲滅,"(v,n) to eradicate; extinguish; extermination"
jimut,,,織物,"(n) cloth; textile, fabric"
cimday,,,寢袋,(n) sleeping bag
bambo,,,帆布,(n) canvas; sailcloth
wanin,,,原因,(n) cause; origin; reason
sinyong,,,信用,"(v,n) credit (finance); trustworthiness; credibility; faith; trust"
embey,,,掩蔽,(n) shelter; screen; cover; protection
sektan,,,石炭,(n) coal
sikcay,,,色彩,"(n) color, colour; tint (color in general)"
caysik,,,彩色,"(v,n) to color; colouring; coloring; colouration; coloration; (the coloring part of art)"
anlak,,,安樂,"(n) comfort, ease, rest; peaceful; content"
sikdyaw,,,色調,(n) hue; shade; tincture; tone; tonality
wiyenhway,,,委員會,(n) committee; commission; board; panel;
janghwang,,,狀況,(n) condition; state; situation
dyawgen,,,條件,(n) condition; circumstances; term; factor; requirement; prerequisite; qualification; preconditions
kongjey,,,控制,"(v, n) to control; to restrain;"
bamjway,,,犯罪,"(v, n)to commit a crime; crime; offense"
jojek,,,租借,"(v) to rent; let (a room, apartment; etc) "
bekbang,,,北方,(n) north
nambang,,,南方,(n) south
dongbang,,,東方,(n) east
seybang,,,西方,(n) west
saklyang,,,數量,"(n) quantity, volume, amount; quantitative"
olak,,,娛樂,"(v, n) to entertain; amuse; entertainment, amusement"
jui,,,注意,"(v, n) to take note of; to be cautious; to pay attention to; attention; caution; being careful"
gyunheng,,,均衡,(n) equal; balanced; harmony; equilibrium
emgi,,,鹽基,(n) base (chemistry)
gihway,,,機會,(n) opportunity; chance; occasion
githyong,,,吉凶,(n) good or bad luck; fortune
gaynyenseng,,,蓋然性,(n) probability; likelihood
donggweng,,,銅礦,(n) copper ore
menhwa,,,棉花,(n) raw cotton; cotton material
menbo,,,綿布,(n) cotton cloth
bekak,,,白堊,(n) chalk material; chalk (mineral);
hwetek,,,血液,(n) blood
bangji,,,放置,"(v, n) leaving as is, leaving alone, leaving to chance, neglecting, abandoning"
tongji,,,統治,"(v, n) to rule (a country); to govern; rule; regime; dominion, governance, reign, rule"
dasigwan,,,大使館,(n) embassy
deygwok,,,帝國,(n) empire; imperial
bakmutgwan,,,博物館,(n) museum
hwayjang,,,會長,"(n) president of a club, committee etc"
jongtong,,,總統,(n) president (of a capitalist country); 
ju,,,酒,(n) alcohol
inhang,,,銀行,"bank (financial institution)"
judem,,,酒店,(n) pub; bar; liquor store; wine shop
ba,ba,,,(n) bar; pub
bya,bya,,,(n) beer
lek,,,曆,(n) calendar
yanglek,,,陽曆,(n) solar calendar; Western (Gregorian) calendar
imlek,,,陰曆,(n) lunar calendar
jipyaw,,,支票,(n) check; cheque
hwahakja,,,化學者,(n) chemist (person working in chemistry)
yakjwisi,,,藥劑師,(n) pharmacist; chemist
yakdem,,,藥店,(n) pharmacy; drugstore
cokolet,,,,"(n, adj) chocolate"
hapcang,,,合唱,"(n) chorus, singing in a chorus"
encaw,,,煙草,(n) cigarette; tobacco
kwenen,,,卷煙,"(n) cigar, cigarette"
hwaysyo,,,會所,(n) office of an association; meeting place; clubhouse; club
kopi,kopi,,,(n) coffee
banila,banila,,,(n) vanilla
gisi,,,技師,"(n) engineer, technician"
swonsyang,,,損傷,"(v, n) to harm; damage; injure; wound"
dameji,dameji,,,(n) damage (in a video game)
wihem,,,危險,"(n, adj) danger, peril, hazard; risk"
jangnyo,,,長女,(n) eldest daughter (formal)
jamu,,,債務,"(n) indebtedness; debt, liabilities, obligation to a person or party"
byuja,,,負債,"(v, n) to be in debt; liability (financial)"
jyengdo,,,程度,"(n) degree (level or extent); level; degree, extent; an approximate amount"
yokmang,,,欲望,"(n) desire, lust, appetite, craving;  longing; yearning"
syawhwa,,,消化,"(v, n) to digest; digestion; digestive"
bangsyang,,,方向,(n) direction; orientation; way (to go)
hemak,,,嫌惡,"(v, n) to loathe; to abhor; hatred; revulsion; to feel disgust for something; loathing"
gyoli,,,距離,(n) distance; range
bunbet,,,分別,"(v, n) to seperate; discern; divide; sort; distinguish"
sidwan,,,師團,(n) military division
hangjengowik,,,行政區域,"(n) administrative area, division, region"
jinay,,,塵埃,"(n) dust, dirt;"
junglyaw,,,終了,"(v, n) to end; close; termination; conclude"
cako,,,錯誤,(n) error; mistake; mistaken; false; wrong; discrepancy 
jigen,,,事件,"(n) event, affair, incident, case, plot, trouble, scandal; (noteworthy event)"
jiley,,,事例,(n) example; exemplar; typical case; precedent
gyawhwan,,,交換,(n) to exchange; to swap; to switch; interchange
gengem,,,經驗,"(v, n) to experience; experience"
kitey,,,氣體,"(n) gas, vapour, vapor, gaseous body"
gasolin,,,,(n) gasoline; petrol; gas
nyetbeng,,,熱病,(n) fever
yongam,,,熔岩,(n) lava
lakdwan,,,樂團,"(n) band, orchestra (a group of musicians)"
lyokwan,,,旅券,(n) passport
dekhyogwen,,,特許權,(n) patent rights; franchise; concession
gengcat,,,警察,(n) police; police officer
gonggaw,,,公告,"(n) public announcement, official notice; notification"
bangan,,,方案,(n) project; plan; program; proposal; suggestion
senjen,,,宣傳,"(v, n) to propagate; disseminate; propaganda;"
sikdang,,,食堂,"(v, n) dining room; dining hall; cafeteria"
denbaw,,,電報,"(n) telegram; cable; telegraph"
gekjang,,,劇場,"(n) theater; movie theater, cinema"
daysakhak,,,代數學,(n) algebra
sakhak,,,數學,(n) mathematics; arithmetic
dilihak,,,地理學,(n) geography
dijithak,,,地質學,(n) geology
gihahak,,,幾何學,(n) geometry
senglihak,,,生理學,(n) physiology
dongmuthak,,,動物學,(n) zoology
gyawi,,,交誼,(n) amity; association; communion; friendship
,,,,
,,,,
hyogo,,,虛構,"(v, n) to make up; fabrication; fiction; imaginary; fictional"
wansyo,,,原野,(n) field; wilderness; plain; open country
bunsyo,,,分野,"(n) field, sphere, realm, division, branch"
jendo,,,戰鬪,"(v, n) to fight; struggle; battle; combat"
hwayem,,,火炎,(n) flame; blaze
jisit,,,事實,"(n, adv) fact; reality; truth; in fact; actually"
baak,,,把握,"(v, n) to grasp (also fig.); to seize; to hold; catch; prehension"
gokmut,,,穀物,"(n) grain, cereal, corn"
jengbu,,,政府,(n) government; national executive administration
hwanggim,,,黃金,(n) gold; golden (opportunity); prime (time)
gimjen,,,金錢,(n) money; currency
gimjok,,,金屬,(n) metal
lyuli,,,琉璃,(n) colored glass; ceramic glaze; glass (substance)
bay,,,杯,(n) cup (for beverages); glass;  trophey
gwasit,,,果實,(n) fruit (from plants); results; gains
hengseng,,,形成,"(v, n) to form; take shape; formation; molding; shaping"
benjey,,,編制,"(v, n) to establish (a unit or department); organization; form a group; forming"
getyen,,,結緣,"(v, n) to form ties; become attached (to sb, sth); making a connection (with Buddha); "
jet,,,折,"(v, n) to fold; folding"
getseng,,,結成,"(v, n) to form; organize; forge (alliances etc)"
gayjeng,,,階層,"(n) social class, level, stratum, layer, hierarchy"
hangjin,,,行進,(v) to advance; march; parade 
hotel,hotel,,,(n) hotel
motel,motel,,,(n) love motel; motel
lyogwan,,,旅館,(n) traditional east asian hotel; inn (historical term)
mitabyap,,,mita法,(n) metric system
dwansen,,,端線,(n) edge
sen,,,栓,(n) cork; bottle stopper; plug;
daw,,,到,until
tang,,,湯,soup
kodil,,,,(n) whale
haydwon,,,海豚,(n) dolphin
hay,,,海驢,(n) sea lion
haygo,,,海狗,(n) seal (marine mammal) 
syakhe,,,,(n) salmon
tako,,,,(n) octopus
ika,,,,(n) squid
ilay,,,依賴,"(v, n) to depend on; to be dependent on; request; entrusting (with a matter); asking sb for help"
dogaygwot,,,頭蓋骨,(n) skull; cranium
syulyok,,,收錄,"(v) to include (in a collection); to put together (stories, poems etc); compilation; collection"
